NAME,B01003_001E,B17001_002E,B03002_003E,B03002_012E,B08201_002E,state,county,tract,block group
Block Group 2; Census Tract 37.17; Bernalillo County; New Mexico,1114,,798,300,,35,001,003717,2
Block Group 3; Census Tract 37.17; Bernalillo County; New Mexico,1356,,480,764,,35,001,003717,3
Block Group 4; Census Tract 37.17; Bernalillo County; New Mexico,1691,,948,743,,35,001,003717,4
Block Group 1; Census Tract 37.18; Bernalillo County; New Mexico,2258,,1070,735,,35,001,003718,1
Block Group 2; Census Tract 37.18; Bernalillo County; New Mexico,554,,403,110,,35,001,003718,2
Block Group 1; Census Tract 37.19; Bernalillo County; New Mexico,2149,,1370,676,,35,001,003719,1
Block Group 2; Census Tract 37.19; Bernalillo County; New Mexico,1815,,1157,349,,35,001,003719,2
Block Group 3; Census Tract 37.19; Bernalillo County; New Mexico,1293,,975,211,,35,001,003719,3
Block Group 1; Census Tract 37.22; Bernalillo County; New Mexico,1563,,321,231,,35,001,003722,1
Block Group 2; Census Tract 37.22; Bernalillo County; New Mexico,4260,,1752,811,,35,001,003722,2
Block Group 3; Census Tract 37.22; Bernalillo County; New Mexico,1421,,792,118,,35,001,003722,3
Block Group 1; Census Tract 37.23; Bernalillo County; New Mexico,708,,437,147,,35,001,003723,1
Block Group 2; Census Tract 37.23; Bernalillo County; New Mexico,1552,,716,373,,35,001,003723,2
Block Group 3; Census Tract 37.23; Bernalillo County; New Mexico,839,,437,256,,35,001,003723,3
Block Group 4; Census Tract 37.23; Bernalillo County; New Mexico,1733,,897,749,,35,001,003723,4
Block Group 5; Census Tract 37.23; Bernalillo County; New Mexico,1447,,516,792,,35,001,003723,5
Block Group 1; Census Tract 37.24; Bernalillo County; New Mexico,882,,591,247,,35,001,003724,1
Block Group 2; Census Tract 37.24; Bernalillo County; New Mexico,2464,,1478,717,,35,001,003724,2
Block Group 1; Census Tract 37.25; Bernalillo County; New Mexico,1489,,923,421,,35,001,003725,1
Block Group 2; Census Tract 37.25; Bernalillo County; New Mexico,1259,,504,457,,35,001,003725,2
Block Group 3; Census Tract 37.25; Bernalillo County; New Mexico,1409,,615,598,,35,001,003725,3
Block Group 1; Census Tract 37.26; Bernalillo County; New Mexico,1142,,859,193,,35,001,003726,1
Block Group 2; Census Tract 37.26; Bernalillo County; New Mexico,1173,,810,133,,35,001,003726,2
Block Group 1; Census Tract 37.28; Bernalillo County; New Mexico,1068,,583,339,,35,001,003728,1
Block Group 2; Census Tract 37.28; Bernalillo County; New Mexico,607,,386,102,,35,001,003728,2
Block Group 3; Census Tract 37.28; Bernalillo County; New Mexico,2962,,1621,1051,,35,001,003728,3
Block Group 1; Census Tract 37.29; Bernalillo County; New Mexico,843,,608,83,,35,001,003729,1
Block Group 2; Census Tract 37.29; Bernalillo County; New Mexico,1245,,869,310,,35,001,003729,2
Block Group 1; Census Tract 37.30; Bernalillo County; New Mexico,1671,,1168,247,,35,001,003730,1
Block Group 2; Census Tract 37.30; Bernalillo County; New Mexico,1192,,745,362,,35,001,003730,2
Block Group 3; Census Tract 37.30; Bernalillo County; New Mexico,2102,,1109,647,,35,001,003730,3
